month,division,line,period,num_passengers,additional train time
2015-07,A DIVISION,7,offpeak,5301795.9,1.01
2015-07,A DIVISION,3,offpeak,4431183.3,1.24
2015-07,A DIVISION,7,peak,5257829.3,1.78
2015-07,A DIVISION,5,offpeak,4606482.1,2.07
2015-07,A DIVISION,6,offpeak,8891556.7,1.19
2015-07,A DIVISION,S 42nd,offpeak,1564574.0,0.44
2015-07,A DIVISION,3,peak,4106906.5,1.31
2015-07,A DIVISION,1,peak,6859218.5,1.15
2015-07,A DIVISION,6,peak,8711974.8,1.50
2015-07,A DIVISION,4,offpeak,6638657.0,1.62
2015-07,A DIVISION,2,offpeak,5630346.9,2.00
2015-07,A DIVISION,4,peak,6439422.3,2.24
2015-07,A DIVISION,1,offpeak,7496916.0,1.16
2015-07,A DIVISION,S 42nd,peak,1910046.6,0.45
2015-07,A DIVISION,2,peak,5384344.8,1.60
2015-08,A DIVISION,5,offpeak,4662806.5,2.07
2015-08,A DIVISION,1,offpeak,6578947.4,0.85
2015-08,A DIVISION,4,peak,6531735.9,2.55
2015-08,A DIVISION,S 42nd,peak,1960289.1,0.43
2015-08,A DIVISION,5,peak,5516624.7,2.89
2015-08,A DIVISION,6,offpeak,7645241.5,1.15
2015-08,A DIVISION,2,offpeak,5162391.8,1.76
2015-08,A DIVISION,3,peak,4489809.9,1.41
2015-08,A DIVISION,S 42nd,offpeak,1393196.7,0.41
2015-08,A DIVISION,3,offpeak,4090555.5,1.15
2015-08,A DIVISION,6,peak,8304209.4,1.50
2015-08,A DIVISION,1,peak,6825408.0,1.07
2015-08,A DIVISION,2,peak,5568413.3,1.60
2015-08,A DIVISION,7,peak,5038485.8,1.23
2015-08,A DIVISION,4,offpeak,6056933.6,1.63
2015-08,A DIVISION,7,offpeak,4702782.7,1.00
2015-09,A DIVISION,7,peak,4703252.7,1.68
2015-09,A DIVISION,6,peak,8065124.5,1.56
2015-09,A DIVISION,1,peak,5871446.3,1.02
2015-09,A DIVISION,6,offpeak,7419044.6,1.21
2015-09,A DIVISION,5,offpeak,3881674.5,2.06
2015-09,A DIVISION,2,offpeak,4521702.7,1.79
2015-09,A DIVISION,3,peak,3676613.9,1.14
2015-09,A DIVISION,4,offpeak,5711405.3,1.73
2015-09,A DIVISION,7,offpeak,4357546.0,1.24
2015-09,A DIVISION,4,peak,5906001.0,2.37
2015-09,A DIVISION,1,offpeak,5720401.2,0.94
2015-09,A DIVISION,3,offpeak,3507681.3,1.18
2015-09,A DIVISION,S 42nd,peak,1718947.6,0.45
2015-09,A DIVISION,S 42nd,offpeak,1191290.4,0.42
2015-09,A DIVISION,5,peak,4652601.5,2.58
2015-09,A DIVISION,2,peak,4783997.4,1.43
2015-10,A DIVISION,3,offpeak,4209952.0,1.25
2015-10,A DIVISION,5,offpeak,4563337.9,2.15
2015-10,A DIVISION,6,offpeak,8868544.0,1.47
2015-10,A DIVISION,1,peak,7636193.2,1.25
2015-10,A DIVISION,7,offpeak,5531893.7,1.18
2015-10,A DIVISION,5,peak,5763593.3,2.89
2015-10,A DIVISION,4,peak,7328812.1,2.57
2015-10,A DIVISION,7,peak,6263358.2,1.70
2015-10,A DIVISION,4,offpeak,6494928.8,1.80
2015-10,A DIVISION,3,peak,4717284.1,1.34
2015-10,A DIVISION,2,peak,6185214.2,1.73
2015-10,A DIVISION,2,offpeak,5397635.3,1.72
2015-10,A DIVISION,S 42nd,offpeak,1314699.4,0.53
2015-10,A DIVISION,S 42nd,peak,1916472.3,0.55
2015-10,A DIVISION,1,offpeak,6917209.4,1.09
2015-10,A DIVISION,6,peak,10157402.8,2.09
2015-11,A DIVISION,7,peak,4571584.8,1.64
2015-11,A DIVISION,1,peak,6524061.3,1.18
2015-11,A DIVISION,4,offpeak,5839881.5,1.58
2015-11,A DIVISION,5,peak,4827128.8,2.84
2015-11,A DIVISION,1,offpeak,6529765.0,1.09
2015-11,A DIVISION,S 42nd,peak,1735854.9,0.43
2015-11,A DIVISION,S 42nd,offpeak,1325144.3,0.41
2015-11,A DIVISION,6,peak,8652542.0,1.74
2015-11,A DIVISION,2,peak,5269432.5,1.69
2015-11,A DIVISION,2,offpeak,4985536.3,1.60
2015-11,A DIVISION,3,peak,3937334.9,1.33
2015-11,A DIVISION,3,offpeak,3859149.4,1.05
2015-11,A DIVISION,7,offpeak,4180965.2,1.04
2015-11,A DIVISION,5,offpeak,4151055.7,1.91
2015-11,A DIVISION,4,peak,6170547.6,2.57
2015-11,A DIVISION,6,offpeak,8186401.6,1.23
2015-12,A DIVISION,1,offpeak,7091717.6,1.03
2015-12,A DIVISION,7,offpeak,4930775.0,1.20
