month,division,line,num_sched_trains,num_actual_trains,service delivered
2019-01,B DIVISION,S Rock,484,488,1.0083
2019-01,B DIVISION,C,1650,1569,0.9509
2019-01,A DIVISION,4,3101,2831,0.9129
2019-01,A DIVISION,1,1826,1808,0.9901
2019-01,B DIVISION,N,1980,1900,0.9596
2019-01,A DIVISION,6,2266,2113,0.9325
2019-01,B DIVISION,F,3173,3026,0.9537
2019-01,B DIVISION,Q,2266,2218,0.9788
2019-01,A DIVISION,2,2420,2332,0.9636
2019-01,A DIVISION,3,2244,2208,0.984
2019-01,A DIVISION,S 42nd,3212,3196,0.995
2019-01,B DIVISION,W,858,818,0.9534
2019-01,B DIVISION,D,2002,1951,0.9745
2019-01,A DIVISION,7,2816,2690,0.9553
2019-01,B DIVISION,L,2112,2044,0.9678
2019-01,B DIVISION,S Fkln,792,791,0.9987
2019-01,B DIVISION,A,2838,2700,0.9514
2019-01,B DIVISION,M,2002,1893,0.9456
2019-01,B DIVISION,JZ,1122,1104,0.984
2019-01,B DIVISION,G,968,986,1.0186
2019-02,A DIVISION,S 42nd,2774,2771,0.9989
2019-02,A DIVISION,4,2679,2482,0.9265
2019-02,A DIVISION,7,2432,2339,0.9618
2019-02,B DIVISION,L,1824,1752,0.9605
2019-02,B DIVISION,M,1729,1630,0.9427
2019-02,B DIVISION,S Fkln,684,683,0.9985
2019-02,B DIVISION,G,836,854,1.0215
2019-02,A DIVISION,2,2090,2020,0.9665
2019-02,B DIVISION,N,1710,1626,0.9509
2019-02,A DIVISION,5,2413,2268,0.9399
2019-02,B DIVISION,S Rock,418,416,0.9952
2019-02,B DIVISION,F,2736,2618,0.9569
2019-02,B DIVISION,C,1425,1372,0.9628
2019-02,B DIVISION,B,1596,1543,0.9668
2019-02,A DIVISION,6,1957,1845,0.9428
2019-02,A DIVISION,3,1938,1908,0.9845
2019-02,B DIVISION,Q,1957,1888,0.9647
2019-02,B DIVISION,E,1482,1413,0.9534
2019-02,A DIVISION,1,1577,1540,0.9765
2019-02,B DIVISION,A,2451,2333,0.9519
2019-02,B DIVISION,W,741,694,0.9366
2019-02,B DIVISION,JZ,969,958,0.9886
2019-02,B DIVISION,R,1881,1816,0.9654
2019-02,B DIVISION,D,1729,1676,0.9693
2019-03,B DIVISION,S Fkln,756,754,0.9974
2019-03,A DIVISION,7,2688,2601,0.9676
2019-03,A DIVISION,6,2060,1945,0.9442
2019-03,B DIVISION,M,1911,1829,0.9571
2019-03,B DIVISION,L,2016,1975,0.9797
2019-03,A DIVISION,S 42nd,2920,2883,0.9873
2019-03,B DIVISION,G,924,931,1.0076
2019-03,B DIVISION,B,1764,1744,0.9887
2019-03,B DIVISION,C,1575,1518,0.9638
2019-03,B DIVISION,D,1911,1892,0.9901
2019-03,B DIVISION,S Rock,462,464,1.0043
2019-03,B DIVISION,A,2709,2599,0.9594
2019-03,A DIVISION,1,1660,1640,0.988
2019-03,B DIVISION,N,1890,1834,0.9704
2019-03,B DIVISION,JZ,1071,1057,0.9869
2019-03,B DIVISION,F,3024,2920,0.9656
2019-03,A DIVISION,5,2540,2393,0.9421
2019-03,B DIVISION,Q,2163,2115,0.9778
2019-03,A DIVISION,2,2200,2113,0.9605
2019-03,B DIVISION,R,2079,2009,0.9663
2019-03,A DIVISION,3,2040,1985,0.973
2019-03,B DIVISION,E,1638,1562,0.9536
2019-03,B DIVISION,W,819,803,0.9805
2019-03,A DIVISION,4,2820,2612,0.9262
2019-04,B DIVISION,JZ,1122,1102,0.9822
2019-04,A DIVISION,1,1826,1799,0.9852
2019-04,B DIVISION,S Fkln,792,790,0.9975
2019-04,B DIVISION,G,968,990,1.0227
2019-04,A DIVISION,3,2244,2227,0.9924
2019-04,B DIVISION,S Rock,484,481,0.9938
2019-04,A DIVISION,2,2420,2347,0.9698
2019-04,B DIVISION,E,1716,1650,0.9615
2019-04,A DIVISION,S 42nd,3212,3197,0.9953
2019-04,B DIVISION,M,2002,1921,0.9595
2019-04,B DIVISION,Q,2266,2217,0.9784
2019-04,A DIVISION,4,3102,2918,0.9407
2019-04,A DIVISION,6,2266,2136,0.9426
2019-04,B DIVISION,W,858,831,0.9685
2019-04,B DIVISION,B,1848,1812,0.9805
2019-04,B DIVISION,L,2112,2078,0.9839
2019-04,A DIVISION,7,2833,2704,0.9545
2019-04,B DIVISION,A,2838,2709,0.9545
2019-04,B DIVISION,N,1980,1903,0.9611
2019-04,B DIVISION,C,1650,1616,0.9794
2019-04,B DIVISION,R,2178,2104,0.966
2019-04,B DIVISION,F,3168,3099,0.9782
2019-04,A DIVISION,5,2794,2631,0.9417
2019-04,B DIVISION,D,2002,1979,0.9885
2019-05,B DIVISION,F,3168,3070,0.9691
2019-05,B DIVISION,L,2112,2040,0.9659
2019-05,B DIVISION,M,2002,1901,0.9496
2019-05,A DIVISION,2,2420,2339,0.9665
2019-05,B DIVISION,E,1716,1638,0.9545
2019-05,B DIVISION,S Rock,474,471,0.9937
2019-05,B DIVISION,Q,2266,2217,0.9784
2019-05,B DIVISION,JZ,1122,1102,0.9822
2019-05,B DIVISION,N,1980,1915,0.9672
2019-05,A DIVISION,6,2266,2148,0.9479
2019-05,A DIVISION,1,1826,1801,0.9863
2019-05,A DIVISION,7,3012,2920,0.9695
2019-05,B DIVISION,G,968,981,1.0134
2019-05,A DIVISION,3,2244,2186,0.9742
2019-05,A DIVISION,S 42nd,3212,3194,0.9944
2019-05,A DIVISION,5,2780,2669,0.9601
2019-05,B DIVISION,S Fkln,788,786,0.9975
2019-05,B DIVISION,D,2002,1957,0.9775
2019-05,A DIVISION,4,3102,2936,0.9465
2019-05,B DIVISION,R,2178,2081,0.9555
2019-05,B DIVISION,B,1848,1794,0.9708
2019-05,B DIVISION,C,1650,1602,0.9709
2019-05,B DIVISION,A,2838,2724,0.9598
2019-05,B DIVISION,W,858,830,0.9674
2019-06,B DIVISION,M,1820,1718,0.944
2019-06,B DIVISION,B,1680,1632,0.9714
2019-06,B DIVISION,Q,2060,2017,0.9791
2019-06,A DIVISION,7,2740,2642,0.9642
2019-06,A DIVISION,S 42nd,2920,2917,0.999
2019-06,B DIVISION,S Fkln,720,703,0.9764
2019-06,B DIVISION,N,1800,1751,0.9728
2019-06,A DIVISION,4,2817,2648,0.94
2019-06,A DIVISION,2,2200,2142,0.9736
2019-06,B DIVISION,JZ,1020,1021,1.001
2019-06,B DIVISION,R,1980,1843,0.9308
2019-06,B DIVISION,W,780,736,0.9436
2019-06,B DIVISION,G,880,896,1.0182
2019-06,A DIVISION,6,2056,1968,0.9572
2019-06,B DIVISION,S Rock,440,444,1.0091
2019-06,B DIVISION,F,2880,2803,0.9733
2019-06,B DIVISION,C,1500,1456,0.9707
2019-06,A DIVISION,1,1660,1643,0.9898
2019-06,A DIVISION,5,2540,2387,0.9398
2019-06,B DIVISION,A,2580,2480,0.9612
2019-06,B DIVISION,E,1560,1466,0.9397
2019-06,B DIVISION,D,1820,1797,0.9874
2019-06,B DIVISION,L,1920,1885,0.9818
2019-06,A DIVISION,3,2040,1983,0.9721
2019-07,B DIVISION,G,968,978,1.0103
2019-07,B DIVISION,B,1848,1806,0.9773
2019-07,B DIVISION,M,2002,1930,0.964
2019-07,A DIVISION,1,1826,1753,0.96
2019-07,A DIVISION,4,3102,2825,0.9107
2019-07,B DIVISION,D,2002,1976,0.987
2019-07,A DIVISION,6,2264,2133,0.9421
2019-07,A DIVISION,S 42nd,3212,3078,0.9583
2019-07,B DIVISION,R,2178,2102,0.9651
2019-07,B DIVISION,C,1650,1582,0.9588
2019-07,B DIVISION,S Rock,484,489,1.0103
2019-07,A DIVISION,2,2420,2292,0.9471
2019-07,A DIVISION,5,2794,2564,0.9177
2019-07,B DIVISION,Q,2266,2205,0.9731
2019-07,B DIVISION,E,1716,1655,0.9645
2019-07,B DIVISION,N,1980,1910,0.9646
2019-07,B DIVISION,JZ,1122,1117,0.9955
2019-07,A DIVISION,7,3008,2903,0.9651
2019-07,B DIVISION,A,2838,2681,0.9447
2019-07,B DIVISION,S Fkln,792,789,0.9962
2019-07,B DIVISION,L,2112,2078,0.9839
2019-07,B DIVISION,F,3168,3097,0.9776
2019-07,A DIVISION,3,2244,2148,0.9572
2019-07,B DIVISION,W,858,829,0.9662
