month,division,line,num_sched_trains,num_actual_trains,service delivered
2017-11,B DIVISION,L,2016,1980,0.9821
2017-11,A DIVISION,5,2740,2342,0.8547
2017-11,B DIVISION,C,1575,1458,0.9257
2017-11,B DIVISION,B,1764,1724,0.9773
2017-11,A DIVISION,3,2184,2030,0.9295
2017-11,B DIVISION,Q,2178,2069,0.95
2017-11,B DIVISION,G,924,941,1.0184
2017-11,A DIVISION,7,2709,2487,0.9181
2017-11,A DIVISION,4,2940,2684,0.9129
2017-11,B DIVISION,E,1638,1546,0.9438
2017-11,B DIVISION,N,1890,1822,0.964
2017-11,B DIVISION,W,819,767,0.9365
2017-11,B DIVISION,F,3003,2931,0.976
2017-11,B DIVISION,JZ,1071,1035,0.9664
2017-11,B DIVISION,R,2079,2012,0.9678
2017-11,A DIVISION,S 42nd,2920,2913,0.9976
2017-12,A DIVISION,3,1989,1897,0.9537
2017-12,B DIVISION,R,1980,1879,0.949
2017-12,A DIVISION,7,2580,2338,0.9062
2017-12,A DIVISION,S 42nd,2920,2802,0.9596
2017-12,B DIVISION,E,1248,1150,0.9215
2017-12,B DIVISION,JZ,1020,989,0.9696
2017-12,B DIVISION,D,1800,1761,0.9783
2017-12,B DIVISION,G,880,903,1.0261
2017-12,B DIVISION,B,1680,1594,0.9488
2017-12,B DIVISION,S Rock,440,437,0.9932
2017-12,B DIVISION,S Fkln,720,710,0.9861
2017-12,A DIVISION,2,2181,2044,0.9372
2017-12,B DIVISION,A,2560,2397,0.9363
2017-12,A DIVISION,6,1979,1755,0.8868
2017-12,B DIVISION,F,2850,2717,0.9533
2017-12,A DIVISION,5,2505,2219,0.8858
2017-12,B DIVISION,L,1920,1861,0.9693
2017-12,B DIVISION,Q,2080,1956,0.9404
2017-12,A DIVISION,1,1661,1632,0.9825
2017-12,B DIVISION,N,1797,1714,0.9538
2017-12,B DIVISION,C,1504,1369,0.9102
2017-12,B DIVISION,W,776,743,0.9575
2017-12,B DIVISION,M,1456,1311,0.9004
2017-12,A DIVISION,4,2838,2484,0.8753
2018-01,B DIVISION,D,1980,1875,0.947
2018-01,B DIVISION,E,1716,1587,0.9248
2018-01,B DIVISION,N,1980,1861,0.9399
2018-01,A DIVISION,2,2409,2147,0.8912
2018-01,A DIVISION,5,2745,2316,0.8437
2018-01,B DIVISION,B,1848,1679,0.9085
2018-01,B DIVISION,C,1652,1495,0.905
2018-01,B DIVISION,S Fkln,792,772,0.9747
2018-01,A DIVISION,S 42nd,3212,3192,0.9938
2018-01,B DIVISION,L,2103,1965,0.9344
2018-01,B DIVISION,M,1804,1650,0.9146
2018-01,B DIVISION,W,858,788,0.9184
2018-01,A DIVISION,3,2232,2039,0.9135
2018-01,B DIVISION,JZ,1122,1053,0.9385
